County,Bush,Gore,Brow,Nade,Har,Hag,Buc,Mc,Ph,Mo,Pop,Whi,Bla,Hisp,Over 65,HS,Coll,Inc
Alachua,"34,124","47,365",658,3226,6,42,263,4,20,21,"198,326",74.4,21.8,4.7,9.4,82.7,34.6,"19,412"
Baker,"5,610","2,392",17,53,0,3,73,0,3,3,"20,761",82.4,16.8,1.5,7.7,64.1,5.7,"14,859"
Bay,"38,637","18,850",171,828,5,18,248,3,18,27,"146,223",84.2,12.4,2.4,11.9,74.7,15.7,"17,838"
Bradford,"5,414","3,075",28,84,0,2,65,0,2,3,"24,646",76.1,22.9,2.6,11.8,65.0,8.1,"13,681"
Brevard,"115,185","97,318",643,4470,11,39,570,11,72,76,"460,977",88.3,9.2,4.1,16.5,82.3,20.4,"19,567"
Broward,"177,323","386,561",1212,7101,50,129,788,34,74,124,"1,470,758",80.3,17.5,10.9,20.3,76.8,18.8,"24,706"
Calhoun,"2,873","2,155",10,39,0,1,90,1,2,3,"12,337",81.6,16.9,1.6,14.3,55.9,8.2,"12,570"
Charlotte,"35,426","29,645",127,1462,6,15,182,3,18,12,"133,681",94.3,4.4,3.4,33.4,75.7,13.4,"18,977"
Citrus,"29,765","25,525",194,1379,5,16,270,0,18,28,"112,454",96.2,2.8,2.5,30.7,68.6,10.4,"16,060"
Clay,"41,736","14,632",204,562,1,14,186,3,6,9,"135,179",91.0,6.0,3.5,7.9,81.2,17.9,"18,598"
Collier,"60,433","29,918",185,1399,7,34,122,4,10,29,"195,731",93.3,5.7,17.1,21.5,79.0,22.3,"30,906"
Columbia,"10,964","7,047",127,258,1,7,89,2,8,5,"52,856",78.3,20.5,1.9,12.3,69.0,11.0,"15,349"
Desoto,"4,256","3,320",23,157,0,0,36,3,8,2,"26,259",80.6,18.1,12.1,18.0,54.5,7.6,"16,544"
Dixie,"2,697","1,826",32,75,0,2,29,0,3,2,"12,563",89.8,9.5,1.2,14.4,57.7,6.2,"12,035"
Duval,"152,098","107,864",952,2757,37,162,652,15,58,41,"732,622",69.4,27.5,3.4,10.7,76.9,18.4,"20,686"
Escambia,"73,017","40,943",296,1727,6,24,502,3,110,20,"282,604",73.3,22.7,2.6,11.7,76.2,18.2,"17,661"
Flagler,"12,613","13,897",60,435,1,4,83,3,3,12,"46,128",88.5,9.8,5.9,23.0,78.7,17.3,"15,613"
Franklin,"2,454","2,046",17,85,1,3,33,0,3,2,"10,133",84.5,14.5,1.0,17.8,59.5,12.4,"15,735"
Gadsden,"4,767","9,735",24,139,3,4,38,4,7,6,"45,441",37.6,61.8,2.9,11.6,59.9,11.2,"14,416"
Gilchrist,"3,300","1,910",52,97,0,1,29,0,2,4,"13,367",90.0,9.3,2.1,13.0,63.0,7.4,"12,865"
Glades,"1,841","1,442",12,56,0,3,9,1,0,1,"9,698",79.6,13.7,10.1,15.3,57.4,7.1,"14,789"
Gulf,"3,550","2,397",21,86,2,4,71,2,2,9,"13,926",73.9,25.2,1.1,13.6,66.4,9.2,"15,482"
Hamilton,"2,146","1,722",12,37,4,1,23,8,7,4,"12,521",56.3,43.0,3.6,10.9,58.4,7.0,"12,357"
Hardee,"3,765","2,339",17,75,0,2,30,0,2,3,"22,113",93.1,5.9,28.4,13.3,54.8,8.6,"16,812"
Hendry,"4,747","3,240",11,103,3,1,22,2,7,2,"31,634",78.2,18.8,26.6,9.9,56.6,10.0,"17,823"
Hemando,"30,646","32,644",116,1501,8,26,242,4,10,22,"125,537",94.4,4.6,4.0,29.6,70.5,9.7,"16,062"
Highlands,"20,206","14,167",64,545,6,16,127,3,7,8,"76,854",87.1,11.6,6.7,32.4,68.2,10.9,"17,655"
Hillsborough,"180,760","169,557",1138,7490,35,217,847,29,68,154,"909,444",82.8,14.9,16.0,12.3,75.6,20.2,"20,167"
Holmes,"5,011","2,177",18,94,1,7,76,3,6,2,"18,382",91.7,6.5,1.7,15.5,57.1,7.4,"12,790"
Indian River,"28,635","19,768",122,950,4,13,105,2,13,10,"99,215",89.2,9.9,3.9,26.6,76.5,19.1,"28,977"
Jackson,"9,138","6,868",40,138,0,2,102,1,4,7,"45,706",69.5,29.6,3.5,14.4,61.6,10.9,"15,519"
Jefferson,"2,478","3,041",14,76,2,1,29,1,0,0,"13,232",49.4,50.1,1.3,13.4,64.1,14.7,"15,574"
Lafayette,"1,670",789,6,26,2,0,10,1,1,0,"6,289",83.0,16.4,5.1,10.7,58.2,5.2,"13,663"
Lake,"50,010","36,571",204,1460,4,36,289,1,21,15,"196,214",88.2,10.9,3.8,26.3,70.6,12.7,"18,269"
Lee,"106,141","73,560",538,3587,30,81,305,5,34,96,"387,091",91.1,7.8,5.9,24.4,76.9,16.4,"22,053"
Leon,"39,053","61,425",330,1932,9,28,282,7,16,31,"215,170",70.4,27.3,3.1,8.4,84.9,37.1,"16,705"
Levy,"6,858","5,398",92,284,1,1,67,1,10,12,"32,254",84.4,14.2,2.6,17.6,62.8,8.3,"13,745"
Liberty,"1,317","1,017",12,19,0,3,39,0,1,2,"6,703",78.1,20.9,3.1,10.7,56.7,7.3,"14,896"
Madison,"3,038","3,014",18,54,0,2,29,1,1,5,"17,558",53.9,45.6,1.9,13.8,56.5,9.7,"13,002"
Manatee,"57,952","49,177",242,2491,5,35,271,3,19,26,"237,159",89.8,9.0,5.8,27.8,75.6,15.5,"23,031"
Marion,"55,141","44,665",662,1809,13,26,563,6,22,49,"237,308",84.3,14.6,4.0,21.4,69.6,11.5,"14,502"
Martin,"33,970","26,620",109,1118,14,29,112,7,20,14,"116,087",91.8,6.9,6.2,26.6,79.7,20.3,"31,996"
Miami-Dade,"289,492","328,764",760,5352,87,119,560,35,69,124,"2,044,600",77.0,21.2,54.4,14.4,65.0,18.8,"20,014"
Monroe,"16,059","16,483",162,1090,1,26,47,0,3,7,"81,919",92.3,6.2,15.8,15.9,79.7,20.3,"25,160"
Nassau,"16,280","6,879",62,253,0,7,90,4,3,3,"54,096",87.3,11.9,1.5,9.8,71.2,21.5,"20,874"
Okaloosa,"52,093","16,948",313,985,4,15,267,2,33,20,"167,580",85.3,10.3,4.2,9.1,83.8,21.0,"18,959"
Okeechobee,"5,057","4,588",21,131,1,4,43,1,3,4,"33,102",91.1,7.5,14.8,14.6,59.1,9.8,"15,162"
Orange,"134,517","140,220",891,3879,13,65,446,7,41,46,"783,974",79.1,17.5,12.3,10.4,78.8,21.2,"20,469"
Osceola,"26,212","28,181",309,732,10,20,145,5,10,33,"142,128",90.7,6.6,15.3,13.2,73.7,11.2,"16,256"
Palm Beach,"152,846","268,945",743,5564,45,143,3407,302,188,103,"1,018,524",83.9,14.4,9.8,23.7,78.8,22.1,"33,518"
Pasco,"68,582","69,564",413,3393,19,83,570,14,16,77,"320,253",96.5,2.3,4.4,32.0,66.9,9.1,"16,924"
Pinellas,"184,823","200,629",1230,10022,41,442,1013,27,72,170,"871,766",89.1,9.0,3.1,26.6,78.1,18.5,"24,796"
Polk,"90,180","75,193",365,2062,8,59,532,5,46,36,"448,646",83.3,15.4,5.3,18.2,68.0,12.9,"17,824"
Putnam,"13,447","12,102",114,377,2,7,148,3,10,12,"70,430",78.1,20.9,3.4,17.6,64.3,8.3,"14,250"
Santa Rosa,"36,274","12,802",131,724,1,13,311,1,43,19,"114,481",92.6,4.6,2.0,8.9,78.5,18.6,"17,127"
Sarasota,"83,100","72,853",431,4069,11,94,305,5,15,59,"301,644",94.0,5.1,2.8,32.3,81.3,21.9,"30,205"
Seminole,"75,677","59,174",550,1946,6,38,194,5,18,26,"344,729",87.4,9.8,8.4,10.1,84.6,26.3,"21,815"
St. Johns,"39,546","19,502",210,1217,4,11,229,2,12,13,"112,707",88.7,10.1,3.0,15.6,79.9,23.6,"25,637"
St. Lucie,"34,705","41,559",165,1368,4,12,124,10,13,29,"179,559",79.6,19.0,5.2,20.1,71.7,13.1,"16,483"
Sumter,"12,127","9,637",53,306,2,2,114,0,3,17,"39,428",81.0,18.1,3.1,20.3,64.3,7.8,"14,606"
Suwannee,"8,006","4,075",52,180,2,4,108,0,9,5,"33,077",82.2,16.9,2.0,15.8,63.8,8.2,"14,773"
Taylor,"4,056","2,649",4,59,0,3,27,1,8,1,"18,718",77.1,21.5,1.3,12.7,62.1,9.8,"15,459"
Union,"2,332","1,407",15,33,1,0,37,0,1,0,"12,359",71.0,27.8,4.8,7.0,67.7,7.9,"10,783"
Volusia,"82,214","97,063",442,2903,8,36,496,5,20,69,"419,797",88.0,10.5,5.0,22.7,75.4,14.8,"17,778"
Wakulla,"4,512","3,838",30,149,2,3,46,1,0,6,"19,172",83.9,14.9,0.9,10.9,71.6,10.9,"15,570"
Walton,"12,182","5,642",68,265,3,11,120,2,7,18,"37,914",88.9,8.6,1.2,14.9,66.5,11.9,"14,866"
Washington,"4,994","2,798",32,93,0,2,88,0,9,5,"20,221",79.7,17.6,1.5,16.4,60.9,7.4,13